,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
0,2021-05-15:15,보통,47.0,보통,19.0,좋음,0.017,좋음,0.023,좋음,0.4,좋음,0.003
1,2021-05-15:14,보통,43.0,보통,20.0,좋음,0.024,좋음,0.019,좋음,0.3,좋음,0.003
2,2021-05-15:13,보통,34.0,보통,24.0,보통,0.035,좋음,0.017,좋음,0.4,좋음,0.004
3,2021-05-15:12,보통,41.0,보통,27.0,보통,0.037,좋음,0.02,좋음,0.4,좋음,0.004
4,2021-05-15:11,보통,51.0,보통,34.0,보통,0.033,좋음,0.023,좋음,0.4,좋음,0.005
5,2021-05-15:10,보통,47.0,보통,31.0,좋음,0.028,좋음,0.029,좋음,0.5,좋음,0.005
6,2021-05-15:09,보통,66.0,나쁨,42.0,좋음,0.027,좋음,0.024,좋음,0.5,좋음,0.005
7,2021-05-15:08,나쁨,99.0,나쁨,69.0,좋음,0.016,보통,0.041,좋음,0.6,좋음,0.005
8,2021-05-15:07,나쁨,111.0,매우나쁨,76.0,좋음,0.005,보통,0.047,좋음,0.7,좋음,0.005
9,2021-05-15:06,나쁨,100.0,나쁨,68.0,좋음,0.007,보통,0.041,좋음,0.6,좋음,0.005
10,2021-05-15:05,나쁨,105.0,나쁨,72.0,좋음,0.019,보통,0.031,좋음,0.6,좋음,0.006
11,2021-05-15:04,나쁨,99.0,나쁨,72.0,좋음,0.019,좋음,0.03,좋음,0.6,좋음,0.006
12,2021-05-15:03,나쁨,97.0,나쁨,71.0,좋음,0.016,보통,0.037,좋음,0.6,좋음,0.005
13,2021-05-15:02,나쁨,94.0,나쁨,64.0,좋음,0.012,보통,0.049,좋음,0.7,좋음,0.006
14,2021-05-15:01,나쁨,95.0,나쁨,63.0,좋음,0.011,보통,0.055,좋음,0.7,좋음,0.006
15,2021-05-14:24,보통,80.0,나쁨,52.0,좋음,0.014,보통,0.054,좋음,0.7,좋음,0.006
16,2021-05-14:23,나쁨,82.0,나쁨,53.0,좋음,0.029,보통,0.044,좋음,0.6,좋음,0.005
17,2021-05-14:22,나쁨,82.0,나쁨,43.0,보통,0.04,보통,0.043,좋음,0.6,좋음,0.005
18,2021-05-14:21,보통,68.0,보통,35.0,보통,0.054,보통,0.033,좋음,0.5,좋음,0.005
19,2021-05-14:20,보통,68.0,나쁨,39.0,보통,0.076,좋음,0.029,좋음,0.5,좋음,0.005
20,2021-05-14:19,보통,72.0,나쁨,37.0,나쁨,0.093,좋음,0.03,좋음,0.5,좋음,0.005
21,2021-05-14:18,보통,43.0,보통,25.0,보통,0.072,좋음,0.027,좋음,0.4,좋음,0.004
22,2021-05-14:17,보통,45.0,보통,25.0,보통,0.082,좋음,0.019,좋음,0.3,좋음,0.004
23,2021-05-14:16,보통,42.0,보통,21.0,보통,0.085,좋음,0.022,좋음,0.3,좋음,0.004
24,2021-05-14:15,보통,43.0,보통,20.0,보통,0.071,좋음,0.02,좋음,0.3,좋음,0.004
25,2021-05-14:14,보통,41.0,보통,22.0,보통,0.071,좋음,0.024,좋음,0.4,좋음,0.004
26,2021-05-14:13,보통,50.0,보통,18.0,보통,0.053,좋음,0.024,좋음,0.4,좋음,0.004
27,2021-05-14:12,보통,58.0,보통,28.0,보통,0.045,좋음,0.025,좋음,0.4,좋음,0.004
28,2021-05-14:11,보통,76.0,나쁨,45.0,보통,0.045,보통,0.036,좋음,0.6,좋음,0.005
29,2021-05-14:10,보통,79.0,나쁨,44.0,좋음,0.019,보통,0.056,좋음,0.8,좋음,0.005
30,2021-05-14:09,보통,68.0,나쁨,39.0,좋음,0.013,보통,0.051,좋음,0.6,좋음,0.004
31,2021-05-14:08,보통,51.0,보통,29.0,좋음,0.009,보통,0.041,좋음,0.6,좋음,0.004
32,2021-05-14:07,보통,42.0,보통,27.0,좋음,0.005,보통,0.039,좋음,0.5,좋음,0.004
33,2021-05-14:06,보통,43.0,보통,23.0,좋음,0.007,보통,0.032,좋음,0.4,좋음,0.003
34,2021-05-14:05,보통,45.0,보통,24.0,좋음,0.013,좋음,0.023,좋음,0.4,좋음,0.004
35,2021-05-14:04,보통,46.0,보통,24.0,좋음,0.011,좋음,0.028,좋음,0.4,좋음,0.004
36,2021-05-14:03,보통,45.0,보통,26.0,좋음,0.015,좋음,0.028,좋음,0.4,좋음,0.004
37,2021-05-14:02,보통,46.0,보통,24.0,좋음,0.022,좋음,0.029,좋음,0.4,좋음,0.003
38,2021-05-14:01,보통,48.0,보통,25.0,좋음,0.02,보통,0.036,좋음,0.5,좋음,0.004
39,2021-05-13:24,보통,49.0,보통,24.0,좋음,0.024,보통,0.035,좋음,0.5,좋음,0.004
40,2021-05-13:23,보통,50.0,보통,25.0,보통,0.034,좋음,0.029,좋음,0.4,좋음,0.004
41,2021-05-13:22,보통,48.0,보통,23.0,보통,0.043,좋음,0.028,좋음,0.5,좋음,0.005
42,2021-05-13:21,보통,49.0,보통,27.0,보통,0.051,보통,0.031,좋음,0.5,좋음,0.004
43,2021-05-13:20,보통,50.0,보통,29.0,보통,0.064,좋음,0.029,좋음,0.4,좋음,0.004
44,2021-05-13:19,보통,55.0,보통,28.0,보통,0.067,좋음,0.024,좋음,0.4,좋음,0.005
45,2021-05-13:18,보통,60.0,보통,33.0,보통,0.085,좋음,0.019,좋음,0.4,좋음,0.005
46,2021-05-13:17,보통,72.0,나쁨,38.0,나쁨,0.111,좋음,0.019,좋음,0.4,좋음,0.004
47,2021-05-13:16,보통,65.0,보통,35.0,나쁨,0.123,좋음,0.025,좋음,0.4,좋음,0.004
48,2021-05-13:15,보통,53.0,보통,27.0,나쁨,0.093,좋음,0.023,좋음,0.4,좋음,0.004
49,2021-05-13:14,보통,55.0,보통,33.0,보통,0.078,좋음,0.024,좋음,0.4,좋음,0.004
50,2021-05-13:13,좋음,20.0,좋음,12.0,보통,0.064,보통,0.035,좋음,0.5,좋음,0.003
51,2021-05-13:12,,,,,,,,,,,,
52,2021-05-13:11,보통,43.0,보통,20.0,보통,0.044,좋음,0.028,좋음,0.4,좋음,0.001
53,2021-05-13:10,보통,36.0,보통,16.0,좋음,0.03,보통,0.037,좋음,0.5,좋음,0.001
54,2021-05-13:09,보통,39.0,보통,20.0,좋음,0.027,좋음,0.03,좋음,0.5,좋음,0.001
55,2021-05-13:08,보통,37.0,보통,19.0,좋음,0.015,보통,0.039,좋음,0.5,좋음,0.001
56,2021-05-13:07,보통,46.0,보통,22.0,좋음,0.01,보통,0.04,좋음,0.5,좋음,0.001
57,2021-05-13:06,보통,34.0,보통,20.0,좋음,0.01,보통,0.04,좋음,0.4,좋음,0.001
58,2021-05-13:05,보통,38.0,보통,23.0,좋음,0.011,보통,0.036,좋음,0.5,좋음,0.001
59,2021-05-13:04,보통,41.0,보통,23.0,좋음,0.007,보통,0.042,좋음,0.5,좋음,0.001
60,2021-05-13:03,보통,38.0,보통,20.0,좋음,0.01,보통,0.042,좋음,0.5,좋음,0.001
61,2021-05-13:02,보통,33.0,보통,18.0,좋음,0.017,보통,0.041,좋음,0.5,좋음,0.001
62,2021-05-13:01,보통,36.0,보통,20.0,좋음,0.025,보통,0.035,좋음,0.4,좋음,0.001
63,2021-05-12:24,보통,38.0,보통,20.0,좋음,0.016,보통,0.05,좋음,0.5,좋음,0.001
64,2021-05-12:23,보통,40.0,보통,19.0,보통,0.035,보통,0.036,좋음,0.4,좋음,0.001
65,2021-05-12:22,보통,43.0,보통,21.0,보통,0.044,보통,0.033,좋음,0.5,좋음,0.001
66,2021-05-12:21,보통,44.0,보통,25.0,보통,0.045,보통,0.042,좋음,0.5,좋음,0.001
67,2021-05-12:20,보통,42.0,보통,23.0,보통,0.04,보통,0.051,좋음,0.5,좋음,0.001
68,2021-05-12:19,보통,33.0,보통,16.0,보통,0.06,보통,0.031,좋음,0.4,좋음,0.001
