,Location,Period,Indicator,Dim1,First Tooltip
0,Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,60.27 [47.44-74.62]
1,Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,63.83 [50.04-79.16]
2,Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,56.57 [44.54-70.18]
3,Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,62.54 [50.64-75.41]
4,Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,66.08 [53.41-79.76]
5,Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,58.84 [47.51-71.09]
6,Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,64.94 [53.74-76.83]
7,Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,68.49 [56.62-81.18]
8,Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,61.25 [50.5-72.52]
9,Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,67.57 [57.07-78.65]
10,Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,71.11 [60.02-83.01]
11,Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,63.87 [53.76-74.39]
12,Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,70.44 [60.72-80.86]
13,Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,74 [63.67-85.14]
14,Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,66.73 [57.29-76.62]
15,Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,73.58 [64.53-83.38]
16,Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,77.15 [67.63-87.59]
17,Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,69.78 [61.03-79.08]
18,Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,76.83 [68.48-86.08]
19,Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,80.48 [71.5-90.3]
20,Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,73.03 [64.91-82]
21,Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,80.34 [72.31-89.08]
22,Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,83.99 [75.42-93.29]
23,Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,76.45 [68.77-85.09]
24,Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,83.91 [76.35-92.32]
25,Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,87.55 [79.43-96.5]
26,Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,80.04 [72.69-88.39]
27,Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,87.62 [80.28-95.77]
28,Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,91.32 [83.45-100]
29,Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,83.71 [76.48-91.81]
30,Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,91.43 [84.22-99.54]
